rec_type, var_name, deployment_code, model, serial_number, time_deployment, time_recovery, variable_name, variable_dims, variable_shape, attribute_name, type, value
GLOBAL,,,Optode 3975C,1158,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,Mooring,Mix Layer Depth,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,Mooring,Pulse 9 July 2012,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,Mooring,Surface Float,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,RAS Box,Apollo,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,TelCan,Pulse-9,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,processing_site_code,20,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,CR1000,39048,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,ACR8242XS,33554,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,ACR8242XS,33555,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,RAS-3-48-500,12709-01,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,3DM-GX1,5925,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,9602-LP,3.00234E+14,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,230A-101,109917,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,GTD,29-101-15,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,DR-1050,14521,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,DR-1050,14522,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,TDR-2050,14786,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,TDR-2050,14787,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,MBARI-ISUS V3,221,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,SBE16plusV2,1606331,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,SBE37SMP-ODO-RS232,3709515,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,SBE43,431635,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,Minilog-II-T,353253,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,Minilog-II-T,353254,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,Minilog-II-T,353255,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,Minilog-II-T,353256,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,Minilog-II-T,353257,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,Minilog-II-T,353258,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
GLOBAL,,,Minilog-II-T,353259,17/7/12,5/5/13,,,,deployment_code,str,Pulse-9-2012
